What's your relationship to renting in Bengaluru right now?,Where do you live in Bangalore?,"When your rent was last renewed, how much did it go up?","When your landlord last hiked the rent, what happened?",The security deposit you paid was roughly…,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,None of these,What's the most you'd pay in rent before you'd rather just leave Bengaluru?,Do you think Bengaluru should put a limit on how much rent can go up?,Roughly what share of your monthly take-home pay goes towards rent?,What do you think is the biggest reason Bengaluru rents have risen?,What is the hardest part of renting in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,No good place available for a decent price,25 – 34,Early career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Haven't renewed / not applicable,"I paid it, no discussion",9–10 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,Too many people moving here,To be able to find a good house and decent owners. Landlords are very difficult. They have their own rules and it becomes difficult to find good people.,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,Haven't faced a rent hike,9–10 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 25%,Not sure,Under 20%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Agree,Under 20%,Brokers,Logic,35 – 44,Student,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,20–30%,IT salaries,Houses don't justify the rent,35 – 44,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",,"I paid it, no discussion",,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,Under 20%,Too many people moving here,,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,,,,,,I'd never leave over rent,Disagree,Under 20%,Too many people moving here,,55 and above,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",More than 40%,"I paid it, no discussion",6–8 months,,,,,,None of these,Another 10% and I'm out,Strongly agree,Under 20%,IT salaries,jhhj,35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",More than 40%,"I pushed back, and they didn't budge",6–8 months,,,,,,None of these,I'd never leave over rent,Not sure,20–30%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,I negotiated it down,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,30–40%,IT salaries,,45 – 54,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly agree,20–30%,IT salaries,"Despite paying high rent, not getting enough ROI for the rent. Eg: Less space, minimal amenities, Far away from office",35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,I negotiated it down,6–8 months,,,Took on flatmates I'd rather not have,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,Too many people moving here,Finding friendly housing societies for bachelors and pet owners,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,IT salaries,Getting a decent house to live in a decent society which is not too old.,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Strongly agree,,IT salaries,Moving in and out,45 – 54,Senior career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Haven't renewed / not applicable,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 25%,Strongly disagree,Under 20%,Too many people moving here,"The rules are still landlord friendly. In areas like Delhi/NCR you don't have clauses like one month rent deduction, 6 month security  deposits",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,Under 20%,Not enough housing,,25 – 34,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,I negotiated it down,1–2 months' rent,Moved somewhere with a much longer commute,,Took on flatmates I'd rather not have,,,,Another 10% and I'm out,Strongly agree,20–30%,Too many people moving here,The prices!,35 – 44,Senior career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",,"I paid it, no discussion",More than 10 months,,,,,,None of these,I'd never leave over rent,Strongly agree,,Too many people moving here,Rent levels,45 – 54,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,Delayed other financial goals,None of these,Another 25%,Strongly agree,20–30%,IT salaries,Finding house without broker. And broker takes one month's rent. Nobroker is pretty useless in areas like Indiranagar.,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",It didn't go up,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,IT salaries,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,,,None of these,I'll pay whatever it takes to stay,Agree,Under 20%,IT salaries,"Finding a place with balcony, unblocked window without a premium",25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,Dipped into savings to keep up,,,I'll pay whatever it takes to stay,Agree,20–30%,Not enough housing,Deposits and ever increasing rents.,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",More than 40%,,More than 10 months,,,,,,,Another 10% and I'm out,,20–30%,,The scarcity premium that comes from lack of standard housing stock in central Bangalore,35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,Took on flatmates I'd rather not have,,,,Another 25%,,20–30%,Too many people moving here,The high Security Deposit,Under 25,,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Haven't renewed / not applicable,Haven't faced a rent hike,9–10 months,,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,6–8 months,,,,,,None of these,I'd never leave over rent,Agree,Under 20%,Too many people moving here,Discovery of homes,25 – 34,Senior career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Strongly agree,20–30%,Not enough housing,High deposits and no certainty of deposits being returned,35 – 44,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Agree,Under 20%,Too many people moving here,Finding a good place (place + facilities+ interiors) in your budget,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,"Rent is too high…no value for money… only because of earning opportunity is keeping me here otherwise no other reason can keep me here…if I get any opportunity, i will move out…I have been to Mumbai before and there things are much better, even though he rent is ok but people and other livening things are better….given same salary, I will be more than happy to move out as soon as possible..",35 – 44,Mid career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Up to 10%,"I paid it, no discussion",More than 10 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,IT salaries,,25 – 34,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,Finding the right home,35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",6–8 months,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,20–30%,Too many people moving here,Exorbitant rental prices,35 – 44,,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,,Delayed other financial goals,,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,6–8 months,,,,,,None of these,I'd never leave over rent,Disagree,20–30%,Too many people moving here,Good quality villas are extremely tough to get and are expensive,45 – 54,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,,3–5 months,,,,,,None of these,,Strongly agree,Under 20%,Too many people moving here,Finding good places nearby,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,IT salaries,Tenants have no say and have to comply to anything and everything to get a decent flat,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",1–2 months' rent,,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,,20–30%,Not enough housing,,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",More than 40%,I walked/moved out over it,3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Agree,Under 20%,IT salaries,Finding a good community near desired location,35 – 44,Mid career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,,,,,,I'd never leave over rent,Strongly agree,20–30%,Too many people moving here,Uncertainty. Might have to move out not just bcoz you don’t want to pay the rent but bcoz landlord suddenly came back to city or something else. It’s particularly difficult when your kid is in school and you have house help etc setup and the move is simply a nightmare,35 – 44,Self-employed / run my own business,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,,3–5 months,,,,,,None of these,I'd never leave over rent,Agree,20–30%,Too many people moving here,"When the owner asks to change , need to house hunt , deal with agents , deal with monetary pinch of moving things and settling again",35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Strongly agree,Under 20%,,,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,I tend to think landlords should stop thinking about tenants as an ATM and move towards being hosts. Tenants on the other hand should look at the accomodation as their own and do whatever it takes to keep it in pristine condition. This needs teamwork and it maybe a business but above all else its a basic human need. Or maybe lets just buy sleeping bags and start camping.,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,I negotiated it down,3–5 months,,,,,,None of these,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,Old homes and big rent,35 – 44,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,,3–5 months,,,,,,,I'd never leave over rent,,Under 20%,IT salaries,,,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,20–30%,Not enough housing,,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",21–40%,"I pushed back, and they didn't budge",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Agree,20–30%,Not enough housing,Not getting value for money,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",More than 40%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Agree,30–40%,Not enough housing,"I've lived in the same neighbourhood for 26 years. The neighbourhood's been getting attention for its ""kind"" community (Which is wiftly disappearing because it's being seen as an experience, not as something residents need to contribute to) over the past decade, is gentrified, rents have gone up 80% in the last 5 years. When it's time to move next, I'll need  to shift out of here just to keep rent manageable.",45 – 54,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,20–30%,Not enough housing,,35 – 44,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Too many people moving here,deposit and the attitude of landlords who think they can charge whatever they want and outsiders will have to pay,25 – 34,Early career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",,I negotiated it down,,,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,"There are very few places without unreasonable conditions like no bachelors, no pets, only married couples eyc",45 – 54,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Too many people moving here,"Finding a good house (light, ventilation etc) with no landlord interference, and also dealing with the brokers (you will almost never get to view a house without a broker being involved).",25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,11–20%,"I pushed back, and they didn't budge",6–8 months,,,,,,None of these,I'd never leave over rent,Disagree,20–30%,Not enough housing,Finding value for money homes as everything seems overpriced,35 – 44,Self-employed / run my own business,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I walked/moved out over it,3–5 months,,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,40–50%,Too many people moving here,Find a good flat in budget,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,,I'd never leave over rent,Agree,,Too many people moving here,,25 – 34,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,,,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Too many people moving here,There is no value in the rental market. The house is not worth the rent.,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,,Under 20%,,Hard to find a place with reasonable travel time to office,35 – 44,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,Rent amount =/= Facility. Around the IT corridor the race of converting old PGs into exorbitantly high priced 1BHKs (or compact 1RKs) with burdened with same PG issues has been a revelation to many people coming from Northern or Western part of India.,35 – 44,Mid career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,I negotiated it down,6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,"The deposit at the start, which really should only be a month or two of a deposit. 6 months or more is criminal because it’s money we don’t have.",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Strongly agree,Under 20%,IT salaries,"High deposits, bare minimum facilities even with exorbitant rents, finding inventory without a broker",25 – 34,Mid career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",,"I paid it, no discussion",,,,,Dipped into savings to keep up,,,I'm already past my limit,,Under 20%,,Beyond limit,35 – 44,Early career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'd never leave over rent,Agree,Under 20%,IT salaries,,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly disagree,Under 20%,Not enough housing,,35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",21–40%,"I paid it, no discussion",9–10 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Agree,20–30%,Brokers,Exorbitant rents,55 and above,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Haven't renewed / not applicable,Haven't faced a rent hike,6–8 months,,,,,,None of these,Another 25%,Disagree,Under 20%,IT salaries,Great locality and spacious housing is very expensive,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,,6–8 months,,,Took on flatmates I'd rather not have,,,,I'd never leave over rent,Strongly agree,20–30%,IT salaries,Finding a good apartment with a good layout,25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,,30–40%,Landlords taking advantage,Really terribly behaved landlords,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly disagree,Under 20%,IT salaries,Finding a good place,35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,Took on flatmates I'd rather not have,,,,I'll pay whatever it takes to stay,Strongly disagree,Under 20%,Not enough housing,,35 – 44,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I paid it, no discussion",3–5 months,,,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,Strongly agree,30–40%,Landlords taking advantage,"The entire thing: Brokers taking a month's rent as a cut, landlord not giving the entire deposit during the time of vacating, removing again a month's in the name of renovation even when the damages are minimal. Deposit seems to be the hardest part but it's the overall aspect. Tenets are usually not able to push back on the rent increase because there's a risk of being thrown out as others in dire need are ready to pay that rent price.",25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",1–2 months' rent,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",It didn't go up,Haven't faced a rent hike,3–5 months,,Downgraded to a smaller/older place,,,,,Another 25%,Agree,30–40%,Something else,,35 – 44,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Too many people moving here,I’ve never really struggled. I’ve been in the same house since I moved here and it’s great because I have a lovely landlady.,35 – 44,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",,"I paid it, no discussion",,,,,,,None of these,I'll pay whatever it takes to stay,,20–30%,Too many people moving here,,55 and above,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,30–40%,Landlords taking advantage,,35 – 44,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,Took on flatmates I'd rather not have,,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,With the same rent I can live better somewhere,25 – 34,Mid career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Haven't renewed / not applicable,Haven't faced a rent hike,6–8 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,20–30%,IT salaries,,45 – 54,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",21–40%,,6–8 months,,,,,,,I'm already past my limit,,20–30%,Landlords taking advantage,"There are no rental laws protecting renters and the courts do not bother creating a system for handling such disputes. My landlord has a politician brother he had the property registered in the name of his sister. When I left the apartment my entire 1 lakh deposit was kept inspite of the fact that when I was leaving I got the entire house painted because they were quoting me double the amount I was getting the painting for. When I told her I will sue if they don't send me back the money, as they are clearly violating the rental agreement she said go ahead. So I went to register a case in the police station, they called the lady on the phone, spoke for 5 mins in Kannada and then refused to file a case. Tried another dozen things, but with a myriad of other things to take care of, i stopped trying to get my money back.",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",21–40%,I negotiated it down,1–2 months' rent,,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Disagree,Under 20%,Something else,,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,Another 25%,,Under 20%,Landlords taking advantage,,45 – 54,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Haven't renewed / not applicable,"I paid it, no discussion",More than 10 months,Moved somewhere with a much longer commute,,,,,,Another 25%,Not sure,Under 20%,,"landlords do not return the deposits. tenants get a step figure treatment. a lot of discrimination. brokers don't pay taxes. in the name of painting, even normal wear and tear repairs are done by landlords. landlords are so hungry that they don't even provide parking facilities and construct buildings with 10-15 units for rent. idiots",35 – 44,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,Delayed other financial goals,None of these,I'll pay whatever it takes to stay,Strongly agree,,Landlords taking advantage,Paying exorbitant maintenance charges as most apartments do Not have good facilities even after paying rent,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Too many people moving here,,25 – 34,Early career,completed
I pay rent,Outer / just outside city limits,21–40%,,3–5 months,Moved somewhere with a much longer commute,,,,,,Another 25%,Strongly agree,,IT salaries,Finding a good house worth of the rent being paid,25 – 34,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,1–2 months' rent,,,,,,,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,"Good flats or decent flats are way too expensive, regardless of whether they are located in a gated community or not. This is because as plethora of private three floor buildings with very shitty housing for your options of getting a decent limit that you have to be willing to pay the premium of either living in a gated community and dealing with everything else that comes with it or pay for a better accommodation. For areas like Kormangala or Indira Nagar, you have to pay to live in the area and housing will barely matter.",,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I pushed back, and they didn't budge",More than 10 months,,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,20–30%,,Rules which they put,25 – 34,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,Under 20%,Too many people moving here,Entire societies being monopolised by 1-2 brokers.,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",,I negotiated it down,6–8 months,,,,,,None of these,I'm already past my limit,,Under 20%,,Value received vs rent,35 – 44,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I walked/moved out over it,6–8 months,,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,30–40%,IT salaries,Landlords raising rent because there are people willing to pay it,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,,,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,Getting a decent home which doesn't break the pockets,25 – 34,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I pushed back, and they didn't budge",1–2 months' rent,Moved somewhere with a much longer commute,,,,,,Another 10% and I'm out,Agree,20–30%,Not enough housing,Frequent rent hikes and low bargaining power (survey flow test),25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,,20–30%,Too many people moving here,,Under 25,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,,20–30%,Too many people moving here,Finding good houses and the opacity,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,1–2 months' rent,,,,,,None of these,I'd never leave over rent,Strongly agree,20–30%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,,,,,,,None of these,Another 25%,Strongly agree,,Landlords taking advantage,,Under 25,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,1–2 months' rent,,,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,"Finding a place that fits all criteria -- location, price, maintenance, security etc. I have comparatively low rent considering the location and security afforded, but the maintenance of the flat is quite poorly done.",25 – 34,Early career,completed
